Country_name,date,Total_new_deceased
United States of America,2021-01-08,3698
India,2021-05-18,3874
India,2022-01-31,1733
India,2021-04-26,3293
United States of America,2021-02-04,3054
India,2021-06-25,1258
United States of America,2021-01-13,4021
India,2021-04-25,2771
United States of America,2021-03-19,1134
India,2021-06-04,2677
India,2021-05-31,3207
United States of America,2021-01-09,3290
United States of America,2021-01-07,3917
India,2021-06-10,4002
India,2021-06-03,3380
United States of America,2020-12-17,3316
United States of America,2021-02-13,2003
United States of America,2021-03-24,1068
United States of America,2021-08-18,1487
India,2021-06-23,1329
United States of America,2021-01-12,3555
United States of America,2021-03-02,1285
United States of America,2021-01-31,2202
United States of America,2020-12-15,2724
India,2021-06-02,2713
India,2022-02-03,1059
India,2021-04-19,2023
India,2021-05-20,4194
India,2021-06-22,1321
India,2021-07-11,2020
United States of America,2021-01-05,3447
United States of America,2021-03-01,1195
United States of America,2021-02-27,1538
India,2021-05-24,4157
India,2021-05-14,4077
India,2021-06-14,2542
United States of America,2022-03-10,1259
United States of America,2021-10-04,1223
United States of America,2021-10-20,1747
United States of America,2022-02-17,2264
United States of America,2021-11-15,1023
United States of America,2021-11-17,1262
United States of America,2022-02-18,2319
United States of America,2021-12-21,2227
United States of America,2022-01-18,2509
United States of America,2021-10-12,1911
United States of America,2022-01-05,1620
United States of America,2021-12-03,1465
United States of America,2022-02-08,3694
United States of America,2021-10-08,2208
United States of America,2021-12-31,1335
United States of America,2022-02-21,1074
United States of America,2022-03-15,1407
United States of America,2021-09-28,2101
United States of America,2021-09-06,1054
United States of America,2021-08-21,1173
United States of America,2022-02-16,2649
United States of America,2021-09-27,1462
United States of America,2021-12-28,2084
United States of America,2021-09-09,2237
United States of America,2022-01-20,2780
United States of America,2022-01-21,3800
United States of America,2021-11-05,1550
United States of America,2021-11-24,1222
United States of America,2022-03-16,1488
United States of America,2021-11-04,1195
United States of America,2022-01-10,1802
United States of America,2021-12-17,1852
United States of America,2022-02-10,2543
United States of America,2022-02-28,2181
United States of America,2022-03-04,1567
United States of America,2021-10-27,1705
United States of America,2021-09-14,2423
United States of America,2021-08-30,1199
United States of America,2021-09-07,1459
Canada,2021-01-23,1047
United States of America,2021-09-25,1451
United States of America,2021-10-07,1730
United States of America,2021-09-08,2068
United States of America,2022-01-22,1260
United States of America,2022-02-09,2944
Canada,2022-01-29,1051
United States of America,2021-12-27,1621
United States of America,2021-09-03,1940
United States of America,2021-11-22,1122
United States of America,2021-12-06,1238
United States of America,2021-11-16,1444
United States of America,2021-10-15,1970
United States of America,2022-02-04,3412
United States of America,2022-02-15,3003
United States of America,2021-10-26,2005
United States of America,2021-11-19,1600
United States of America,2022-01-31,2557
United States of America,2021-10-09,1070
United States of America,2021-12-09,1143
United States of America,2022-03-07,1504
United States of America,2022-03-02,1758
United States of America,2021-11-09,1567
United States of America,2021-12-14,1882
United States of America,2022-02-05,1266
United States of America,2021-08-23,1125
United States of America,2021-08-24,1657
United States of America,2022-02-22,3248
United States of America,2022-01-12,2081
United States of America,2021-09-19,1182
United States of America,2021-09-20,1281
United States of America,2022-01-17,1224
United States of America,2021-10-29,1713
United States of America,2022-01-27,2769
United States of America,2022-01-19,2750
Canada,2022-01-22,1035
United States of America,2022-02-03,2659
United States of America,2022-03-08,1743
United States of America,2021-12-15,1665
United States of America,2021-11-02,1430
United States of America,2021-12-02,1235
United States of America,2021-08-29,1152
United States of America,2021-09-18,1609
United States of America,2021-09-21,2333
United States of America,2021-09-12,1134
United States of America,2021-12-29,1537
United States of America,2021-09-04,1498
United States of America,2021-09-16,2081
United States of America,2022-01-25,3417
United States of America,2021-09-10,2243
United States of America,2021-09-26,1015
United States of America,2022-03-09,1967
United States of America,2021-12-08,1269
United States of America,2021-12-01,1550
United States of America,2022-03-17,1054
United States of America,2021-09-23,2031
United States of America,2021-11-12,1693
United States of America,2021-11-18,1070
United States of America,2021-11-01,1122
United States of America,2021-12-24,1355
United States of America,2022-03-23,1248
United States of America,2022-02-25,2346
United States of America,2021-10-21,1518
United States of America,2021-12-10,1829
United States of America,2021-10-01,2154
United States of America,2021-10-19,1841
United States of America,2022-01-29,1543
United States of America,2022-01-26,3031
United States of America,2021-10-06,1991
United States of America,2022-01-04,2751
United States of America,2021-08-26,1757
United States of America,2021-09-17,2297
United States of America,2022-03-14,1318
United States of America,2021-09-24,2397
United States of America,2022-01-07,2341
United States of America,2022-02-07,3145
United States of America,2022-02-02,3109
United States of America,2021-09-01,1983
United States of America,2021-12-07,1825
United States of America,2022-01-13,2050
United States of America,2022-02-24,2446
United States of America,2021-12-30,1302
United States of America,2022-02-11,2906
United States of America,2022-02-23,2576
United States of America,2021-10-22,1883
United States of America,2021-12-20,1346
United States of America,2022-02-01,4133
United States of America,2021-09-13,1295
United States of America,2022-01-15,1399
United States of America,2021-12-16,1089
United States of America,2022-01-06,1998
United States of America,2022-01-24,2587
United States of America,2021-10-18,1252
United States of America,2021-09-11,1746
United States of America,2021-10-13,1785
United States of America,2021-11-29,1591
United States of America,2021-09-15,2382
United States of America,2021-08-27,1804
United States of America,2022-02-14,2867
United States of America,2021-11-03,1438
United States of America,2021-11-23,1535
United States of America,2021-08-25,1634
United States of America,2021-10-14,1548
United States of America,2021-09-29,2197
United States of America,2021-11-08,1149
United States of America,2021-09-02,2016
United States of America,2021-09-05,1280
United States of America,2021-11-10,1252
Canada,2021-01-16,1047
United States of America,2021-11-30,1588
United States of America,2021-12-13,1257
United States of America,2021-12-22,1541
United States of America,2022-01-14,2849
United States of America,2021-08-20,1557
United States of America,2022-01-03,1452
United States of America,2021-10-05,2047
United States of America,2022-03-11,1438
United States of America,2021-10-28,1275
United States of America,2022-03-03,1355
United States of America,2021-08-28,1464
United States of America,2022-03-01,1956
United States of America,2021-09-22,2282
United States of America,2022-01-11,3089
United States of America,2022-01-28,3520
United States of America,2021-08-31,1742
United States of America,2021-10-02,1313
United States of America,2022-03-30,1173
United States of America,2021-09-30,1911
Russia,2021-11-09,1239
Chile,2022-03-21,11447
Russia,2021-11-10,1237
Russia,2021-11-16,1247
Russia,2021-11-11,1235
