Country_name,Total_new_vaccinations
Brazil,909584
Brazil,620602
Brazil,1109418
Brazil,1408385
Brazil,725965
Turkey,1571868
Brazil,1131661
Brazil,1380815
Brazil,1287302
Turkey,1298636
Brazil,976915
Brazil,526689
Brazil,561900
India,4083876
India,2901770
India,1082045
India,2273113
India,2877285
India,3056350
United States of America,936369
United States of America,646974
United States of America,928881
India,1235937
India,1291046
India,8174273
India,1348015
India,1281332
United States of America,2403238
Vietnam,887484
India,3134333
India,2852557
India,1530766
United States of America,597425
India,2270062
India,3592177
India,2419808
India,1591526
United States of America,1332707
United States of America,1354983
United States of America,866175
United States of America,1323925
Vietnam,514253
India,1738750
United States of America,1741808
United States of America,2519584
India,1501826
United States of America,2291708
Vietnam,673674
India,1910908
India,2223901
India,1472083
United States of America,1602587
United States of America,1351486
India,2698799
India,2272008
United States of America,642278
United States of America,1814558
India,2219977
India,1782553
India,2593965
India,4876031
India,2174722
United States of America,2427099
India,2415800
Vietnam,515167
United States of America,1484040
India,6106371
India,621352
Vietnam,1805475
Vietnam,782306
India,2037639
United States of America,582632
United States of America,705355
United States of America,1672663
India,2050316
United States of America,1392235
India,8203530
United States of America,1536904
India,1612863
India,6677905
India,4713442
India,4212102
India,1777637
India,1888597
India,893334
India,3438031
India,4243617
India,1020721
India,575975
India,1335170
India,904202
United States of America,533671
India,6113546
India,3447382
United States of America,2200227
Vietnam,1037997
India,6709383
India,1615655
India,2340951
United States of America,1002597
United States of America,1124698
India,2246613
India,985165
United States of America,1030870
United States of America,1094704
India,2510537
United States of America,501982
India,2014818
India,2281386
India,2055375
India,842260
United States of America,866983
India,3693495
India,2611979
India,1544248
India,773872
India,5001493
United States of America,539912
India,4336591
India,952018
India,847354
India,3918584
United States of America,659937
United States of America,731413
India,3263125
India,905343
India,697536
United States of America,616727
United States of America,2124753
India,4210739
India,1166491
United States of America,1211739
United States of America,2280668
India,3598471
India,1209874
India,5985845
United States of America,646602
India,992524
India,564084
United States of America,836027
Vietnam,1062158
India,11100063
United States of America,561025
India,2380694
India,1102560
India,905385
India,2704943
India,1539500
India,2307238
India,6491695
United States of America,1641608
India,3365597
India,2663131
India,3035678
India,3566482
India,1922654
India,810477
India,1274892
India,3924888
India,1679543
India,1730733
India,3299395
India,958990
United States of America,1956346
United States of America,662426
United States of America,823929
India,4640950
India,4039886
India,3384241
India,1821956
India,3572179
India,2154934
India,3932791
India,3553142
India,4789283
India,1623177
India,2251933
United States of America,1244296
India,1543000
India,3221210
India,3811564
United States of America,820449
India,1199848
United States of America,1158216
India,5273368
India,3412936
India,1538644
United States of America,1382872
India,3307330
India,2258875
India,689535
India,2572347
India,8536349
India,1509707
India,525457
United States of America,824358
Vietnam,899429
India,2657881
India,1565044
